"cly","disp","hp"
6,160,110
6,160,110
4,108,93
6,258,110
8,360,175
6,225,105
8,360,245
4,146.7,62
4,140.8,95
6,167.6,123
6,167.6,123
8,275.8,180
8,275.8,180
8,275.8,180
8,472,205
8,460,215
8,440,230
4,78.7,66
4,75.7,52
4,71.1,65
4,120.1,97
8,318,150
8,304,150
8,350,245
8,400,175
4,79,66
4,120.3,91
4,95.1,113
8,351,264
6,145,175
8,301,335
4,121,109
4,248,203
4,215,192
4,220,187
4,230,197
4,225,190
4,240,200
4,235,195
4,227,193
4,238,198
4,245,202
4,165,139
4,158,132
4,160,136
4,170,142
4,173,145
4,167,140
4,169,141
4,163,137
4,162,136
4,168,141
6,301,268
6,309,275
6,290,260
6,310,276
6,300,267
6,295,264
6,305,272
6,298,266
6,303,270
6,307,274
6,350,301
6,348,299
6,355,305
6,360,309
6,354,304
6,358,307
6,356,306
6,352,303
6,357,307
6,359,308
6,215,175
6,220,180
6,225,185
6,230,190
6,235,195
6,240,200
6,245,205
6,250,210
6,255,215
6,260,220
